contrast,λ,α,Iu_disk_mse,Ip_disk_mse,theta_mse
-2.0,-0.66,-5.0,0.5728282826921434,0.20183876633489736,0.19015071416632895
-2.0,3.34,-5.0,0.7682874242120572,1.6040982160907524,0.20154395012305584
-2.0,-0.66,-1.0,1.3272966815753409,0.2270625356405325,0.19043394371823755
-2.0,-4.66,-5.0,0.8842909017818871,5.211522932713247,0.20919285282307976
-2.0,-0.66,-9.0,0.5523774101716726,0.19448118631789796,0.1914283946749695
-2.0,0.4163117914413418,-7.147940177230089,0.3672947797121798,0.12072964859144458,0.1951590807993447
-2.0,0.41227624833164367,-7.701079514069504,0.36549631836350527,0.12612390114952016,0.19457248702033542
-2.0,0.029623319693545702,-7.045607260642345,0.3464872357510067,0.12990090904117152,0.194789235175038
-2.0,-0.3697135074712899,-7.022583393245181,0.4376886185943659,0.15206782456769632,0.1900840860236267
-2.0,0.1840299416747576,-6.676610519344606,0.33882376809955583,0.11699030413333797,0.1919485758837339
-2.0,0.18906401652659766,-5.876626358194908,0.34043455233915004,0.12391592444271833,0.19137386881760482
-2.0,0.19632714367630055,-6.4471324538273125,0.34103178163375264,0.13534282105855802,0.19252354559241383
-2.0,0.21410051886893267,-6.806588723035575,0.3411374361267525,0.1238325543974757,0.1943596026249039
-2.0,0.24681576558709828,-6.668998665716971,0.3424071614800437,0.12297748770710558,0.19699005468790157
-2.0,0.12318340864947463,-6.693864487549142,0.33473985715750804,0.14108491078059335,0.19405001872829658
-2.0,0.17709967438676105,-6.61374581227206,0.3400903215839986,0.12127161824374746,0.19289672296339927
-2.0,0.1960992277798282,-6.738693788692426,0.3411167325807107,0.13592090569897675,0.19662154733789125
-2.0,0.1916014587653842,-6.657150208068117,0.33823755677148276,0.11970956853722699,0.19545860891538644
-2.0,0.1740763379894632,-6.675648348010542,0.3439063232007607,0.12027919143633709,0.1936025549199401
-2.0,0.19381484692950224,-6.678673436976425,0.34038776836709467,0.1321180248634146,0.19639987536798753
-2.0,0.1835037771411455,-6.68659666729482,0.3351592984814094,0.11719676835748108,0.19528659132273393
-2.0,0.1810395774525015,-6.696288298730987,0.33954898614556717,0.13188962103450458,0.19420959849022076
