λ,α,contrast
-5.267370717807949,-9.0,-1.0
-4.310996193607066,-9.0,-1.0
-3.354621669406182,-9.0,-1.0
-2.398247145205299,-9.0,-1.0
-1.4418726210044155,-9.0,-1.0
-0.48549809680353206,-9.0,-1.0
0.4708764273973509,-9.0,-1.0
1.4272509515982348,-9.0,-1.0
2.3836254757991178,-9.0,-1.0
3.34,-9.0,-1.0
-5.267370717807949,-7.404660727863842,-1.0
-4.310996193607066,-7.404660727863842,-1.0
-3.354621669406182,-7.404660727863842,-1.0
-2.398247145205299,-7.404660727863842,-1.0
-1.4418726210044155,-7.404660727863842,-1.0
-0.48549809680353206,-7.404660727863842,-1.0
0.4708764273973509,-7.404660727863842,-1.0
1.4272509515982348,-7.404660727863842,-1.0
2.3836254757991178,-7.404660727863842,-1.0
3.34,-7.404660727863842,-1.0
-5.267370717807949,-5.809321455727685,-1.0
-4.310996193607066,-5.809321455727685,-1.0
-3.354621669406182,-5.809321455727685,-1.0
-2.398247145205299,-5.809321455727685,-1.0
-1.4418726210044155,-5.809321455727685,-1.0
-0.48549809680353206,-5.809321455727685,-1.0
0.4708764273973509,-5.809321455727685,-1.0
1.4272509515982348,-5.809321455727685,-1.0
2.3836254757991178,-5.809321455727685,-1.0
3.34,-5.809321455727685,-1.0
-5.267370717807949,-4.213982183591527,-1.0
-4.310996193607066,-4.213982183591527,-1.0
-3.354621669406182,-4.213982183591527,-1.0
-2.398247145205299,-4.213982183591527,-1.0
-1.4418726210044155,-4.213982183591527,-1.0
-0.48549809680353206,-4.213982183591527,-1.0
0.4708764273973509,-4.213982183591527,-1.0
1.4272509515982348,-4.213982183591527,-1.0
2.3836254757991178,-4.213982183591527,-1.0
3.34,-4.213982183591527,-1.0
-5.267370717807949,-2.6186429114553693,-1.0
-4.310996193607066,-2.6186429114553693,-1.0
-3.354621669406182,-2.6186429114553693,-1.0
-2.398247145205299,-2.6186429114553693,-1.0
-1.4418726210044155,-2.6186429114553693,-1.0
-0.48549809680353206,-2.6186429114553693,-1.0
0.4708764273973509,-2.6186429114553693,-1.0
1.4272509515982348,-2.6186429114553693,-1.0
2.3836254757991178,-2.6186429114553693,-1.0
3.34,-2.6186429114553693,-1.0
-5.267370717807949,-1.0233036393192112,-1.0
-4.310996193607066,-1.0233036393192112,-1.0
-3.354621669406182,-1.0233036393192112,-1.0
-2.398247145205299,-1.0233036393192112,-1.0
-1.4418726210044155,-1.0233036393192112,-1.0
-0.48549809680353206,-1.0233036393192112,-1.0
0.4708764273973509,-1.0233036393192112,-1.0
1.4272509515982348,-1.0233036393192112,-1.0
2.3836254757991178,-1.0233036393192112,-1.0
3.34,-1.0233036393192112,-1.0
-5.267370717807949,0.5720356328169451,-1.0
-4.310996193607066,0.5720356328169451,-1.0
-3.354621669406182,0.5720356328169451,-1.0
-2.398247145205299,0.5720356328169451,-1.0
-1.4418726210044155,0.5720356328169451,-1.0
-0.48549809680353206,0.5720356328169451,-1.0
0.4708764273973509,0.5720356328169451,-1.0
1.4272509515982348,0.5720356328169451,-1.0
2.3836254757991178,0.5720356328169451,-1.0
3.34,0.5720356328169451,-1.0
-5.267370717807949,2.1673749049531033,-1.0
-4.310996193607066,2.1673749049531033,-1.0
-3.354621669406182,2.1673749049531033,-1.0
-2.398247145205299,2.1673749049531033,-1.0
-1.4418726210044155,2.1673749049531033,-1.0
-0.48549809680353206,2.1673749049531033,-1.0
0.4708764273973509,2.1673749049531033,-1.0
1.4272509515982348,2.1673749049531033,-1.0
2.3836254757991178,2.1673749049531033,-1.0
3.34,2.1673749049531033,-1.0
-5.267370717807949,3.7627141770892614,-1.0
-4.310996193607066,3.7627141770892614,-1.0
-3.354621669406182,3.7627141770892614,-1.0
-2.398247145205299,3.7627141770892614,-1.0
-1.4418726210044155,3.7627141770892614,-1.0
-0.48549809680353206,3.7627141770892614,-1.0
0.4708764273973509,3.7627141770892614,-1.0
1.4272509515982348,3.7627141770892614,-1.0
2.3836254757991178,3.7627141770892614,-1.0
3.34,3.7627141770892614,-1.0
-5.267370717807949,5.358053449225419,-1.0
-4.310996193607066,5.358053449225419,-1.0
-3.354621669406182,5.358053449225419,-1.0
-2.398247145205299,5.358053449225419,-1.0
-1.4418726210044155,5.358053449225419,-1.0
-0.48549809680353206,5.358053449225419,-1.0
0.4708764273973509,5.358053449225419,-1.0
1.4272509515982348,5.358053449225419,-1.0
2.3836254757991178,5.358053449225419,-1.0
3.34,5.358053449225419,-1.0
